year,gross,budget
1980,2705960420.0,1491350000.0
1981,2701941353.0,1631950000.0
1982,3329039989.0,1902670000.0
1983,3007151411.0,1980052000.0
1984,3732490008.0,2694605000.0
1985,4156304691.0,3311510000.0
1986,3927328698.0,3253287376.0
1987,4275936207.0,3268542678.0
1988,5022262095.0,3104040000.0
1989,6302850931.0,3396262578.0
1990,6984597265.0,3815003000.0
1991,6335604652.0,3990248000.0
1992,7536252677.0,4001377769.0
1993,8094376329.0,3833349999.0
1994,9103342745.0,4705954768.0
1995,9508930972.0,4795333757.0
1996,9839736487.0,5292580000.0
1997,13132484263.0,6281145000.0
1998,11297274135.0,6507766000.0
1999,13610680601.0,7480940000.0
2000,13534963853.0,7098750000.0
2001,15617625148.0,7143300000.0
2002,17003436520.0,6889128966.0
2003,17661932024.0,7438930000.0
2004,18721747812.0,7858327000.0
2005,17866609897.0,7804494000.0
2006,18674278859.0,7894700000.0
2007,20383671799.0,7947010000.0
2008,21722370505.0,8060730000.0
2009,23338680609.0,8117000000.0
2010,23102650317.0,8329250000.0
2011,24857895332.0,8688730000.0
2012,25476190195.0,8535795080.0
2013,25995848674.0,8901170000.0
2014,26491482563.0,8212800000.0
2015,26766219584.0,8210626148.0
2016,28938844792.0,9627000000.0
2017,28485248415.0,8783200000.0
2018,28085289459.0,8181480000.0
2019,30420333578.0,8357550000.0
2020,2723276233.0,1026933750.0
